username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
TheDailyShow,2018-05-06 13:00,304,738,"A school in San Antonio asks eighth graders to list the "pros and cons" of slavery: https://on.cc.com/2HREbxg pic.twitter.com/MzOq4Hk2Vh",,,,"993173551086682113",https://twitter.com/TheDailyShow/status/993173551086682113
TheDailyShow,2018-05-06 11:00,123,875,"Another Trump lawyer bites the dust: https://on.cc.com/2HQeSvM pic.twitter.com/JQhX2yJcJB",,,,"993143357575716864",https://twitter.com/TheDailyShow/status/993143357575716864
TheDailyShow,2018-05-06 09:00,215,834,". @ TheLewisBlack looks at the 2018 primary candidates and how they are appealing to the most ideologically extreme voters.pic.twitter.com/ujZhSzs1NN",,@,,"993113152836554754",https://twitter.com/TheDailyShow/status/993113152836554754
TheDailyShow,2018-05-05 19:00,110,705,". @ TheLewisBlack on congressional primary candidates who "tell it like it is." Full piece: https://on.cc.com/2rkQQlf pic.twitter.com/zMO96B61r7",,@,,"992901790134886400",https://twitter.com/TheDailyShow/status/992901790134886400
TheDailyShow,2018-05-05 17:00,188,518,"Former head of the CIA and NSA @ GenMhayden explains how Russia has targeted the U.S. by identifying weaknesses. Extended interview: https://on.cc.com/2HP9NDL pic.twitter.com/fSTha9L28U",,@,,"992871558635962368",https://twitter.com/TheDailyShow/status/992871558635962368
TheDailyShow,2018-05-05 15:00,318,2362,"Trevor can relate to Trump's sudden inclination to be honest. Full video: https://on.cc.com/2HMqALD pic.twitter.com/G50mtkOlSW",,,,"992841364760154112",https://twitter.com/TheDailyShow/status/992841364760154112
TheDailyShow,2018-05-05 11:00,667,2339,". @ davidblaine leaves Trevor speechless. # BetweenTheScenespic.twitter.com/FSe3C1LzpV",,@,#,"992780965964480513",https://twitter.com/TheDailyShow/status/992780965964480513
TheDailyShow,2018-05-05 09:00,101,425,". @ michaelkosta sits down with Gregory Watson, a man whose C-grade college essay led to the ratification of the U.S. Constitution's 27th Amendment.pic.twitter.com/HCdLMLdG5I",,@,,"992750762781327360",https://twitter.com/TheDailyShow/status/992750762781327360
TheDailyShow,2018-05-04 15:00,118,597,""Sex and the City ended 14 years ago, so get over it! And stop being such a Charlotte." @ TheLewisBlack weighs in on the Andrew Cuomo - Cynthia Nixon gubernatorial primary: https://on.cc.com/2rkQQlf pic.twitter.com/gVATgFAMyZ",,@,,"992478969650794496",https://twitter.com/TheDailyShow/status/992478969650794496
TheDailyShow,2018-05-04 14:02,187,653,"The Trump administration completely ripped off that new Facebook ad.pic.twitter.com/XpiwOJMez6",,,,"992464557447745537",https://twitter.com/TheDailyShow/status/992464557447745537
TheDailyShow,2018-05-04 12:23,1959,9378,"Got our hands on Trump's Venmo historypic.twitter.com/12glhMEppO",,,,"992439603197030400",https://twitter.com/TheDailyShow/status/992439603197030400
TheDailyShow,2018-05-04 11:29,277,761,". @ davidblaine enlists Trevor to help him shove an ice pick through his hand. Extended interview: https://on.cc.com/2jqHCR0 pic.twitter.com/ddEtedFCHD",,@,,"992426033755377665",https://twitter.com/TheDailyShow/status/992426033755377665
TheDailyShow,2018-05-04 10:37,285,1106,"Trevor can relate to Trump's sudden inclination to be honest: https://on.cc.com/2HMqALD pic.twitter.com/lHO6k4Rn1z",,,,"992412892090781697",https://twitter.com/TheDailyShow/status/992412892090781697
TheDailyShow,2018-05-04 08:56,259,1428,"ICYMI: RUDY! RUDY! RUDY!https://twitter.com/thedailyshow/status/992244928259309568 …",,,,"992387571731886082",https://twitter.com/TheDailyShow/status/992387571731886082
TheDailyShow,2018-05-04 00:54,48,257,"Rudy Giuliani adds a new twist to the Stormy Daniels scandal, and @ davidblaine performs his notorious ice pick trick. Subscribe and listen: https://on.cc.com/2KyJHGZ pic.twitter.com/Hn6MqeJn6h",,@,,"992266075537461248",https://twitter.com/TheDailyShow/status/992266075537461248
TheDailyShow,2018-05-03 23:30,1732,6419,""Imagine a PR crisis so bad that your best move is to admit you paid hush money to a porn star." -Trevor unpacks the latest Trump bombshell from Rudy Giuliani: https://on.cc.com/2HN3559 pic.twitter.com/9UqbuNt2jv",,,,"992244928259309568",https://twitter.com/TheDailyShow/status/992244928259309568
TheDailyShow,2018-05-03 22:50,136,2152,"This guy. Tonight at 11/10c.pic.twitter.com/YUflxZW7pL",,,,"992234876983283713",https://twitter.com/TheDailyShow/status/992234876983283713
TheDailyShow,2018-05-03 22:00,47,417,"TONIGHT: Things get weird with @ davidblaine!pic.twitter.com/GTWj4THnGw",,@,,"992222304825307136",https://twitter.com/TheDailyShow/status/992222304825307136
TheDailyShow,2018-05-03 21:30,83,454,"Rudy Giuliani blows the Stormy Daniels story wide open:https://youtu.be/hDAfY-NdQyA",,,,"992214729077809152",https://twitter.com/TheDailyShow/status/992214729077809152
TheDailyShow,2018-05-03 21:00,292,1142,"Tonight at 11/10c, Rudy Giuliani flips the Stormy Daniels story upside down.pic.twitter.com/hlsduhfOzV",,,,"992207183067533312",https://twitter.com/TheDailyShow/status/992207183067533312
