username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
BarackObama,2018-04-23 15:13,30115,195151,"These talented young people will create a better future not just in Africa, but around the world. I can’t wait to spend some time with @ ObamaFoundation Leaders and look forward to honoring the Mandela legacy in Johannesburg this summer.https://twitter.com/obamafoundation/status/988475935463759878 …",,@,,"988496127996678145",https://twitter.com/BarackObama/status/988496127996678145
BarackObama,2018-04-17 20:44,51134,323881,"Our statement on the passing of Former First Lady Barbara Bush:pic.twitter.com/MhTVYCL9Nj",,,,"986405191711944704",https://twitter.com/BarackObama/status/986405191711944704
BarackObama,2018-03-25 11:34,20342,226485,"Incredible to have a Chicago team in the Final Four. I’ll take that over an intact bracket any day! Congratulations to everybody @ LoyolaChicago - let’s keep it going!",,@,,"977931743880761344",https://twitter.com/BarackObama/status/977931743880761344
BarackObama,2018-03-24 13:07,328190,1596253,"Michelle and I are so inspired by all the young people who made today’s marches happen. Keep at it. You’re leading us forward. Nothing can stand in the way of millions of voices calling for change.",,,,"977592827348742146",https://twitter.com/BarackObama/status/977592827348742146
BarackObama,2018-03-19 17:48,27400,138707,"Our most important task as a nation is to make sure all our young people can achieve their dreams. We’ve started this work with @ MBK_Alliance, but there’s so much more all of us have to do—government, private sector, academia & community leaders—to change the odds for our kids.https://twitter.com/upshotnyt/status/975774912764882946 …",,@,,"975851480648421376",https://twitter.com/BarackObama/status/975851480648421376
BarackObama,2018-03-19 11:10,26593,174859,"In Singapore with young people who are advocating for education, empowering young women, and getting involved all over Southeast Asia with a profoundly optimistic commitment to building the world they want to see.https://twitter.com/ganeshmuren/status/975711729609920512 …",,,,"975751255296487424",https://twitter.com/BarackObama/status/975751255296487424
BarackObama,2018-03-15 20:22,29890,281819,"41: I like the competition. And the loyalty to the home team. - 44https://twitter.com/georgehwbush/status/974345353322483713 …",,,,"974440685175754752",https://twitter.com/BarackObama/status/974440685175754752
BarackObama,2018-03-15 19:16,13179,131441,"Congrats to @ LoyolaChicago and Sister Jean for a last-second upset - I had faith in my pick!",,@,,"974424008182689792",https://twitter.com/BarackObama/status/974424008182689792
BarackObama,2018-03-14 16:12,39429,265424,"Just because I have more time to watch games doesn’t mean my picks will be better, but here are my brackets this year: https://go.obama.org/2018bracket pic.twitter.com/gnNXw0Ysxr",,,,"974015556675391488",https://twitter.com/BarackObama/status/974015556675391488
BarackObama,2018-03-14 10:58,274545,1446009,"Have fun out there among the stars.pic.twitter.com/S285MTwGtp",,,,"973936533320413184",https://twitter.com/BarackObama/status/973936533320413184
