username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
TheDailyShow,2018-05-06 15:00,89,327,". @ Antoinette_Rob discusses how the unapologetic view of racial identity in @ DearWhitePeople can help young black girls: https://on.cc.com/2JJ73bI pic.twitter.com/IaG2jQLDIl",,@ @,,"993203748104163329",https://twitter.com/TheDailyShow/status/993203748104163329
TheDailyShow,2018-05-06 13:00,467,1198,"A school in San Antonio asks eighth graders to list the "pros and cons" of slavery: https://on.cc.com/2HREbxg pic.twitter.com/MzOq4Hk2Vh",,,,"993173551086682113",https://twitter.com/TheDailyShow/status/993173551086682113
TheDailyShow,2018-05-06 11:00,135,973,"Another Trump lawyer bites the dust: https://on.cc.com/2HQeSvM pic.twitter.com/JQhX2yJcJB",,,,"993143357575716864",https://twitter.com/TheDailyShow/status/993143357575716864
TheDailyShow,2018-05-06 09:00,234,925,". @ TheLewisBlack looks at the 2018 primary candidates and how they are appealing to the most ideologically extreme voters.pic.twitter.com/ujZhSzs1NN",,@,,"993113152836554754",https://twitter.com/TheDailyShow/status/993113152836554754
TheDailyShow,2018-05-05 19:00,110,715,". @ TheLewisBlack on congressional primary candidates who "tell it like it is." Full piece: https://on.cc.com/2rkQQlf pic.twitter.com/zMO96B61r7",,@,,"992901790134886400",https://twitter.com/TheDailyShow/status/992901790134886400
TheDailyShow,2018-05-05 17:00,195,538,"Former head of the CIA and NSA @ GenMhayden explains how Russia has targeted the U.S. by identifying weaknesses. Extended interview: https://on.cc.com/2HP9NDL pic.twitter.com/fSTha9L28U",,@,,"992871558635962368",https://twitter.com/TheDailyShow/status/992871558635962368
TheDailyShow,2018-05-05 15:00,322,2398,"Trevor can relate to Trump's sudden inclination to be honest. Full video: https://on.cc.com/2HMqALD pic.twitter.com/G50mtkOlSW",,,,"992841364760154112",https://twitter.com/TheDailyShow/status/992841364760154112
TheDailyShow,2018-05-05 11:00,685,2372,". @ davidblaine leaves Trevor speechless. # BetweenTheScenespic.twitter.com/FSe3C1LzpV",,@,#,"992780965964480513",https://twitter.com/TheDailyShow/status/992780965964480513
TheDailyShow,2018-05-05 09:00,103,429,". @ michaelkosta sits down with Gregory Watson, a man whose C-grade college essay led to the ratification of the U.S. Constitution's 27th Amendment.pic.twitter.com/HCdLMLdG5I",,@,,"992750762781327360",https://twitter.com/TheDailyShow/status/992750762781327360
TheDailyShow,2018-05-04 15:00,118,597,""Sex and the City ended 14 years ago, so get over it! And stop being such a Charlotte." @ TheLewisBlack weighs in on the Andrew Cuomo - Cynthia Nixon gubernatorial primary: https://on.cc.com/2rkQQlf pic.twitter.com/gVATgFAMyZ",,@,,"992478969650794496",https://twitter.com/TheDailyShow/status/992478969650794496
TheDailyShow,2018-05-04 14:02,189,653,"The Trump administration completely ripped off that new Facebook ad.pic.twitter.com/XpiwOJMez6",,,,"992464557447745537",https://twitter.com/TheDailyShow/status/992464557447745537
TheDailyShow,2018-05-04 12:23,1962,9384,"Got our hands on Trump's Venmo historypic.twitter.com/12glhMEppO",,,,"992439603197030400",https://twitter.com/TheDailyShow/status/992439603197030400
TheDailyShow,2018-05-04 11:29,280,771,". @ davidblaine enlists Trevor to help him shove an ice pick through his hand. Extended interview: https://on.cc.com/2jqHCR0 pic.twitter.com/ddEtedFCHD",,@,,"992426033755377665",https://twitter.com/TheDailyShow/status/992426033755377665
TheDailyShow,2018-05-04 10:37,288,1113,"Trevor can relate to Trump's sudden inclination to be honest: https://on.cc.com/2HMqALD pic.twitter.com/lHO6k4Rn1z",,,,"992412892090781697",https://twitter.com/TheDailyShow/status/992412892090781697
TheDailyShow,2018-05-04 08:56,259,1427,"ICYMI: RUDY! RUDY! RUDY!https://twitter.com/thedailyshow/status/992244928259309568 …",,,,"992387571731886082",https://twitter.com/TheDailyShow/status/992387571731886082
